price,min_to_metro,region_of_moscow,total_area,living_area,floor,number_of_floors,construction_year,is_new,is_apartments,ceiling_height,number_of_rooms,link
34335474.0,22.0,SAR,92.78,31.9,2.0,17.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/294939321/
31520784.0,10.0,NAR,74.1,,33.0,43.0,2023.0,1.0,0.0,4.2,2.0,https://www.cian.ru/sale/flat/272090911/
34785711.0,20.0,SAR,66.5,28.6,11.0,46.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/299093537/
15836476.0,6.0,WAR,54.1,,2.0,25.0,2021.0,1.0,0.0,2.63,2.0,https://www.cian.ru/sale/flat/300889122/
21286313.0,12.0,WAR,49.8,,10.0,21.0,2020.0,1.0,1.0,3.3,2.0,https://www.cian.ru/sale/flat/292571125/
21000000.0,9.0,SAR,51.6,11.2,13.0,28.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298566212/
27500000.0,5.0,NWAR,64.0,27.1,17.0,44.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/299303429/
29775786.0,5.0,,72.1,,2.0,24.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/300624695/
147160000.0,1.0,CAR,104.0,,6.0,9.0,2023.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/293149097/
73395040.0,6.0,NWAR,79.2,36.2,7.0,9.0,2023.0,1.0,0.0,3.25,2.0,https://www.cian.ru/sale/flat/299261519/
22553000.0,9.0,NEAR,62.1,,7.0,27.0,2022.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/294033901/
45357109.0,4.0,NEAR,79.7,,15.0,15.0,2021.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/292035528/
32810400.0,12.0,NEAR,75.6,56.7,2.0,37.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/298828169/
80000000.0,1.0,CAR,116.2,,25.0,85.0,2015.0,1.0,1.0,,2.0,https://www.cian.ru/sale/flat/299938864/
19700000.0,26.0,NWAR,53.2,,5.0,21.0,2024.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300283885/
28900000.0,8.0,SAR,62.81,,14.0,22.0,2023.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/299114283/
23688668.0,17.0,SEAR,60.5,23.9,5.0,30.0,2024.0,1.0,0.0,2.87,2.0,https://www.cian.ru/sale/flat/300575251/
30048408.0,2.0,SWAR,65.6,,14.0,25.0,2024.0,1.0,0.0,3.65,2.0,https://www.cian.ru/sale/flat/298403133/
126980000.0,5.0,NWAR,87.1,30.6,1.0,3.0,2023.0,1.0,1.0,3.1,2.0,https://www.cian.ru/sale/flat/300415762/
35124125.0,5.0,WAR,63.52,,13.0,57.0,2024.0,1.0,0.0,2.9,2.0,https://www.cian.ru/sale/flat/283864418/
15625394.0,10.0,WAR,51.4,,12.0,25.0,2021.0,1.0,0.0,2.63,2.0,https://www.cian.ru/sale/flat/299449791/
30500000.0,14.0,NWAR,68.3,,28.0,41.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300866779/
29350000.0,8.0,NWAR,79.73,,3.0,8.0,2024.0,1.0,0.0,,2.0,https://www.cian.ru/sale/flat/300651675/
29201900.0,19.0,SEAR,63.5,29.7,12.0,22.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300165804/
29862660.0,19.0,SEAR,67.1,30.3,21.0,22.0,2023.0,1.0,0.0,3.0,2.0,https://www.cian.ru/sale/flat/300165801/
25368000.0,,NWAR,56.0,,40.0,47.0,2023.0,1.0,0.0,3.05,2.0,https://www.cian.ru/sale/flat/296745634/
25178208.0,6.0,SAR,44.0,24.2,15.0,15.0,2023.0,1.0,0.0,3.15,2.0,https://www.cian.ru/sale/flat/293204091/
20535330.0,4.0,WAR,62.2,35.2,23.0,29.0,2022.0,1.0,1.0,3.0,2.0,https://www.cian.ru/sale/flat/290856466/
30064650.0,13.0,SWAR,62.7,37.4,24.0,32.0,2021.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/264100619/
53809097.0,23.0,SAR,79.1,36.1,7.0,11.0,2024.0,1.0,0.0,3.1,2.0,https://www.cian.ru/sale/flat/299226753/
21091978.0,20.0,NEAR,64.2,,2.0,22.0,2021.0,1.0,0.0,2.79,2.0,https://www.cian.ru/sale/flat/294768594/
